benchmark,mode,dtype,acc,M,K,N,mnk,run,host_seconds,note
me_matmul_00515_b4bc056e,f16->f32,f16,f32,704,1216,1984,1698430976,PANIC,426,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00012_31bcedba,f8E5M2->f32,f8E5M2,f32,1536,512,2176,1711276032,PANIC,522,Runtime Error at MESI_Two_Level-L1cache.sm:326: Invalid Ru
me_matmul_00399_946399fa,f16->f32,f16,f32,1984,256,3392,1722810368,TIMEOUT,14402,killed after 14400s guard (likely livelock)
me_matmul_00145_a184b1ee,f8E5M2->f32,f8E5M2,f32,2688,1024,640,1761607680,PANIC,483,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00619_86fee95f,f16->f16,f16,f16,3904,192,2368,1774977024,TIMEOUT,14403,killed after 14400s guard (likely livelock)
me_matmul_00740_6d890b5b,f16->f16,f16,f16,2432,320,2304,1793064960,PANIC,503,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00503_c12c2c35,f16->f32,f16,f32,2624,192,3584,1805647872,RUN-FAIL,1500,"gem5 rc=1, no stats.txt"
me_matmul_00481_c0d6d74d,f16->f32,f16,f32,512,1152,3072,1811939328,PANIC,495,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00554_ccaee0d4,f16->f16,f16,f16,576,2624,1216,1837891584,RUN-FAIL,551,"gem5 rc=139, no stats.txt"
me_matmul_00724_327b8be5,f16->f16,f16,f16,704,3712,704,1839726592,RUN-FAIL,437,"gem5 rc=139, no stats.txt"
me_matmul_00494_efa832e3,f16->f32,f16,f32,320,1536,3968,1950351360,PANIC,574,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00332_23292a0a,f16->f32,f16,f32,1728,768,1472,1953497088,PANIC,569,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00338_3d103bba,f16->f32,f16,f32,1024,3008,640,1971322880,RUN-FAIL,625,"gem5 rc=139, no stats.txt"
me_matmul_00030_359bfe4a,f8E5M2->f32,f8E5M2,f32,3456,896,640,1981808640,PANIC,521,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00320_5ec54f6c,f16->f32,f16,f32,256,2880,2688,1981808640,PANIC,558,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00541_eeb727c3,f16->f16,f16,f16,896,832,2688,2003828736,RUN-FAIL,1128,"gem5 rc=139, no stats.txt"
me_matmul_00060_48258ca9,f8E5M2->f32,f8E5M2,f32,1152,1152,1536,2038431744,PANIC,405,panic condition !handled && !tc->getSystemPtr()->trapToGdb
